Question,Asked At,Answered At,Why is this important?,Rationale/Source,Answering Analysis,Financial,Governance,Steward,Data Owner,Consumer,App/AI Builder,Privacy Officer,Community,Data Expert,Security,Architecture,Systems Administration
Is this repository actively maintained?,Scouting,Scouting,I don't want to start using something that is a dead-end burden.,"Recency/frequency signal — last-pushed date, commit cadence — answerable from GitHub API metadata alone (RE's HealthSurveyor), no zipball needed.",repository_health,,,X,,X,,,,X,,,
What does this repository do?,Scouting,Scouting,Need to understand it to use it appropriately.,"Purpose/description — from the repo's own GitHub description field, no deeper analysis required.",N/A — direct field (Project.description),,,,,X,,,,X,,X,
Who maintains this repository?,Scouting,Scouting,Are they reputable?,"Ownership/contact signal — org, top contributors — from GitHub API metadata, relevant before any deeper trust assessment.",repository_health,,,X,X,,,,,,X,,
How widely adopted and active is the community around this repository?,Scouting,Scouting,"Reduces adoption risk, provides a health proxy, and ensures community support and responsiveness.","Stars/forks/contributor-count and issue/PR responsiveness as an adoption/health proxy — cheap GitHub API signal, not a quality judgment on its own.",repository_health,,,,,X,,,X,,,,
Has this repository already been catalogued in Egeria and when?,Scouting,Scouting,Has someone already done this analysis? What did they learn?,"""Known inventory"" check — is there already a SourceControlLibrary asset for this repo, independent of whether it's registered in Resource Explorer's own local registry. Ties to the Scouting ""shop for data"" search work.","N/A — direct field (is_published/egeria_asset_guid); GAP: known-inventory search across the Egeria catalog itself isn't built (Scouting's ""shop for data"" Track 1)",,X,X,,,,,,,,,
Are there outstanding CVEs?,Scouting,Analysis,Understand the risk.,"No CVE/dependency-vulnerability scan exists in RE today — real gap; candidate tools: OSV.dev (Google/OpenSSF vulnerability API), OWASP Dependency-Track (SBOM-based CVE monitoring), Trivy/Grype (manifest+lockfile scanners).","GAP: CVE/dependency-vulnerability scan (candidate: OSV.dev, OWASP Dependency-Track, Trivy, Grype)",,X,,,,,,,,X,,
Is there any existing use within our organization?,Scouting,Scouting,"Other experts, reduces risk if successful. Dependencies already in place, etc.","Answerable locally from RE's own registry (cross-reference against already-registered repos/groups) — no external API needed.",N/A — RE registry query (already-registered repos/groups),,,,,X,X,X,X,X,X,X,X
Any known feedback?,Scouting,Curate,"Other experts, reduces risk if positive.",RE's Curate intent already holds resource_feedback for cataloged resources.,N/A — direct field (resource_feedback table),,,,,X,X,,X,X,X,X,X
Does it replace or extend something we already have?,Scouting,Scouting,Duplication can be costly - needs to be factored in.,"Answerable locally from RE's own registry/groups, same as ""existing use within our organization.""",N/A — RE registry query (already-registered repos/groups),X,,,,,,,,X,,X,
What are similar repos/projects? How does this differ?,Scouting,Analysis,Helping me choose.,"Needs similarity search over content (RAG/embeddings) — real gap, not built.",GAP: similarity search over pgvector embeddings (not built),,,,,,,,X,,X,,X
