survey_kind,survey_group,survey_display_name,description,output_filename,step_key,step_order
scouting,RepoCoarseScout,Git Statistics Survey,"Fast, GitHub-API-only pass — is this repo active enough to look closer at? Regenerated by scripts/generate_repo_survey_definition.py. Re-authored after the original live Egeria element was lost to a platform restart (quickstart platform does not persist custom-authored elements across restarts). Renamed from 'Repo Coarse Scout' (docs/survey-tab-unification-plan.md D5) — qualified_name unchanged, so this is an in-place rename of the existing element, not a new one.",repo-survey-definition-scouting.md,repo_git_statistics,1
scouting,RepoCoarseScout,Git Statistics Survey,"Fast, GitHub-API-only pass — is this repo active enough to look closer at? Regenerated by scripts/generate_repo_survey_definition.py. Re-authored after the original live Egeria element was lost to a platform restart (quickstart platform does not persist custom-authored elements across restarts). Renamed from 'Repo Coarse Scout' (docs/survey-tab-unification-plan.md D5) — qualified_name unchanged, so this is an in-place rename of the existing element, not a new one.",repo-survey-definition-scouting.md,repo_health,2
scouting,RepoCoarseScout,Git Statistics Survey,"Fast, GitHub-API-only pass — is this repo active enough to look closer at? Regenerated by scripts/generate_repo_survey_definition.py. Re-authored after the original live Egeria element was lost to a platform restart (quickstart platform does not persist custom-authored elements across restarts). Renamed from 'Repo Coarse Scout' (docs/survey-tab-unification-plan.md D5) — qualified_name unchanged, so this is an in-place rename of the existing element, not a new one.",repo-survey-definition-scouting.md,repo_language,3
scouting,RepoCoarseProfile,Coarse Profile Survey,"Download the repo's zipball once and profile what's actually in it — file types, sizes, language shape, and any data-file schemas. Replaces the old bespoke 'Refresh coarse profile' button/route (docs/survey-tab-unification-plan.md D2/D3) — this is now an ordinary Survey Definition candidate like every other survey type, dispatched through the same batched executor path (D1) that downloads the zipball once for the whole group instead of once per step.",repo-survey-definition-coarse-profile.md,repo_file_inventory,1
scouting,RepoCoarseProfile,Coarse Profile Survey,"Download the repo's zipball once and profile what's actually in it — file types, sizes, language shape, and any data-file schemas. Replaces the old bespoke 'Refresh coarse profile' button/route (docs/survey-tab-unification-plan.md D2/D3) — this is now an ordinary Survey Definition candidate like every other survey type, dispatched through the same batched executor path (D1) that downloads the zipball once for the whole group instead of once per step.",repo-survey-definition-coarse-profile.md,repo_manifest_parse,2
scouting,RepoCoarseProfile,Coarse Profile Survey,"Download the repo's zipball once and profile what's actually in it — file types, sizes, language shape, and any data-file schemas. Replaces the old bespoke 'Refresh coarse profile' button/route (docs/survey-tab-unification-plan.md D2/D3) — this is now an ordinary Survey Definition candidate like every other survey type, dispatched through the same batched executor path (D1) that downloads the zipball once for the whole group instead of once per step.",repo-survey-definition-coarse-profile.md,repo_language,3
scouting,RepoCoarseProfile,Coarse Profile Survey,"Download the repo's zipball once and profile what's actually in it — file types, sizes, language shape, and any data-file schemas. Replaces the old bespoke 'Refresh coarse profile' button/route (docs/survey-tab-unification-plan.md D2/D3) — this is now an ordinary Survey Definition candidate like every other survey type, dispatched through the same batched executor path (D1) that downloads the zipball once for the whole group instead of once per step.",repo-survey-definition-coarse-profile.md,repo_file_classification,4
scouting,RepoCoarseProfile,Coarse Profile Survey,"Download the repo's zipball once and profile what's actually in it — file types, sizes, language shape, and any data-file schemas. Replaces the old bespoke 'Refresh coarse profile' button/route (docs/survey-tab-unification-plan.md D2/D3) — this is now an ordinary Survey Definition candidate like every other survey type, dispatched through the same batched executor path (D1) that downloads the zipball once for the whole group instead of once per step.",repo-survey-definition-coarse-profile.md,repo_file_structure,5
scouting,RepoCoarseProfile,Coarse Profile Survey,"Download the repo's zipball once and profile what's actually in it — file types, sizes, language shape, and any data-file schemas. Replaces the old bespoke 'Refresh coarse profile' button/route (docs/survey-tab-unification-plan.md D2/D3) — this is now an ordinary Survey Definition candidate like every other survey type, dispatched through the same batched executor path (D1) that downloads the zipball once for the whole group instead of once per step.",repo-survey-definition-coarse-profile.md,repo_data_profiling,6
scouting,RepoCoarseProfile,Coarse Profile Survey,"Download the repo's zipball once and profile what's actually in it — file types, sizes, language shape, and any data-file schemas. Replaces the old bespoke 'Refresh coarse profile' button/route (docs/survey-tab-unification-plan.md D2/D3) — this is now an ordinary Survey Definition candidate like every other survey type, dispatched through the same batched executor path (D1) that downloads the zipball once for the whole group instead of once per step.",repo-survey-definition-coarse-profile.md,repo_homepage,7
