Question,Funnel Stage,Why is this important?,Rationale/Source,Answering Analysis,Answering Mechanism,Resource Types,Level,Financial,Governance,Steward,Data Owner,Consumer,App/AI Builder,Privacy,Community,Data Expert,Security,Architecture,Admin,Purposes,Catalog History,Status
Is this repository actively maintained?,Scouting,I don't want to start using something that is a dead-end burden.,"Recency/frequency signal — last-pushed date, commit cadence — answerable from GitHub API metadata alone (RE's HealthSurveyor), no zipball needed.",repository_health + foss_scorecard [checks: foss_scorecard:maintained],Git Statistics + Code Analysis,repo,resource,,,X,,X,,,,X,,,,Select;Maintain,,
"What is this resource, and what is it for?",Scouting,Need to understand it to use it appropriately.,"Purpose/description — from the repo's own GitHub description field, no deeper analysis required.",N/A — direct field (Project.description) This might also be a summary of the top level README.,Direct Field,*,resource,,,,,X,,,,X,,X,,Explore;Select;Learn,2026-09-21: reworded from repo-only to cross-type wording (multi-resource-questions-design.md §4) as part of the re/db-questions-csv authoring stream.,
"Who owns this resource (accountable owner), and who administers it?",Scouting,Are they reputable?,"repository_health alone answers 'is it maintained', not 'by whom' — the two questions returned the same text until chaoss_metrics, built on project_commits, gave this one its own source.",repository_health + chaoss_metrics (contributor identities and concentration),Git Statistics,*,resource,,,X,X,,,,,,X,,,Explore;Select,2026-09-21: reworded from repo-only to cross-type wording (multi-resource-questions-design.md §4) as part of the re/db-questions-csv authoring stream.,
How widely adopted and active is the community around this repository?,Scouting,"Reduces adoption risk, provides a health proxy, and ensures community support and responsiveness.","Stars are attention, not community. community_support reports the dimensions separately and names the weakest rather than averaging, so 'popular but unsupported' stays visible instead of averaging out.","repository_health + community_support (attention, participation and channels as separate dimensions, weakest named) + chaoss_metrics",Git Statistics + Code Analysis,repo,resource,,,,,X,,,X,,,,,Explore;Select,,
"Has this resource already been catalogued in Egeria, and when?",Discovery,Has someone already done this analysis? What did they learn?,"""Known inventory"" check — is there already a catalog asset for this repo, independent of whether it's registered in Resource Explorer's own local registry. Ties to the Scouting ""shop for data"" search work.","N/A — direct field (is_published/egeria_asset_guid); GAP: known-inventory search across the Egeria catalog itself isn't built (Scouting's ""shop for data"" Track 1)",Egeria Queries,*,resource,,X,X,,,,,,,,,,Explore;Maintain,2026-09-21: reworded from repo-only to cross-type wording (multi-resource-questions-design.md §4) as part of the re/db-questions-csv authoring stream.,
Are there outstanding CVEs?,Analysis,Understand the risk.,"Covers advisories against DECLARED dependencies only, queried from OSV.dev, with coverage reported as prominently as the count — so a zero is 'none found in what we can see', not 'none exist'.",cve_scan,External Service Query,repo,resource,,X,,,,,,,,X,,,Select;Assess;Certify;Maintain,"Closed 2026-08-26 by cve_scan, reading the dependencies manifest_parse recorded.",
Is there any existing use within our organization?,Discovery,"Other experts, reduces risk if successful. Dependencies already in place, etc.",Answerable locally from RE's own registry (cross-reference against already-registered repos/groups) — no external API needed.,N/A — RE registry query (already-registered repos/groups) - probably a set of egeria queries.,Local Registry Query + Egeria Queries,*,resource,,,,,X,X,X,X,X,X,X,X,Explore;Select,,
Any known feedback?,Discovery,"Other experts, reduces risk if positive.",RE's Curate intent already holds resource_feedback for cataloged resources.,N/A — direct field (resource_feedback table) - result from Egeriq queries/report,Local Registry Query + Egeria Queries,*,resource,,,,,X,X,,X,X,X,X,X,Explore;Select,,
Does it replace or extend something we already have?,Discovery,Duplication can be costly - needs to be factored in.,"Answerable locally from RE's own registry/groups, same as ""existing use within our organization.""",N/A — RE registry query (already-registered repos/groups) - might need RAG support for this.,Local Registry Query + RAG Queries,*,resource,X,,,,,,,,X,,X,,Select,,
"What are similar resources, and how does this differ?",Analysis,Helping me choose.,"Needs similarity search over content (RAG/embeddings) — real gap, not built.",GAP: similarity search over pgvector embeddings (not built) - Agent over RAG ,Agent-Based Analysis,*,resource,,,,,,,,X,,X,,X,Select,2026-09-21: reworded from repo-only to cross-type wording (multi-resource-questions-design.md §4) as part of the re/db-questions-csv authoring stream.,
